Step,Training Loss
1198,1.977100
1199,2.265200
1200,1.397600
1201,1.814100
1202,1.658900
1203,1.601700
1204,1.981100
1205,1.590500
1206,0.942700
1207,1.612500
1208,1.795200
1209,1.936300
1210,1.575500
1211,1.725800
1212,1.838100
1213,1.888500
1214,1.954000
1215,1.737400
1216,1.544700
1217,1.768500
1218,1.656900
1219,2.061500
1220,1.830000
1221,1.776700
1222,1.540600
1223,1.251300
1224,1.948900
1225,1.836400
1226,1.913400
1227,1.402400
1228,1.818300
1229,1.452100
1230,1.367400
1231,1.666000
1232,1.913100
1233,1.644600
1234,1.966000
1235,1.300100
1236,1.858300
1237,1.576200
1238,1.604200
1239,2.141400
1240,1.396200
1241,1.601400
1242,1.566100
1243,1.483400
1244,1.802700
1245,1.699900
1246,1.511100
1247,1.648200
1248,1.951400
1249,1.679300
1250,1.875600
